epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,143.834,0.51358,0.55448,0.88515,0.79942,0.94356,0.82158,0.70554,0.57716,1.25516,1.05388,0.000380804,0.000380804,0.000380804
43,149.416,0.47572,0.64389,0.87,0.79942,0.94356,0.82158,0.70554,0.57716,1.25516,1.05388,0.00037876,0.00037876,0.00037876
44,151.384,0.51939,0.60474,0.87041,0.88601,0.94128,0.89696,0.78126,0.55507,0.80774,1.05014,0.000376188,0.000376188,0.000376188
45,153.894,0.53011,0.59908,0.91373,0.88601,0.94128,0.89696,0.78126,0.55507,0.80774,1.05014,0.000373088,0.000373088,0.000373088
46,159.965,0.44079,0.52698,0.882,0.96676,0.95644,0.98585,0.86126,0.55901,0.40996,1.04982,0.00036946,0.00036946,0.00036946
47,163.961,0.45182,0.46696,0.87263,0.96676,0.95644,0.98585,0.86126,0.55901,0.40996,1.04982,0.000365304,0.000365304,0.000365304
48,166.456,0.47331,0.66487,0.91587,0.98572,0.96706,0.98819,0.856,0.57118,0.32986,1.05081,0.00036062,0.00036062,0.00036062
49,168.126,0.49984,0.48332,0.87551,0.98572,0.96706,0.98819,0.856,0.57118,0.32986,1.05081,0.000355408,0.000355408,0.000355408
50,169.755,0.43018,0.46968,0.87909,0.9605,0.99213,0.995,0.86874,0.57075,0.31085,1.05126,0.000349668,0.000349668,0.000349668
51,173.742,0.46071,0.56337,0.86438,0.9605,0.99213,0.995,0.86874,0.57075,0.31085,1.05126,0.00034,0.00034,0.00034
52,180.444,0.48608,0.56865,0.87162,0.89738,0.98574,0.91733,0.79309,0.59959,0.50904,1.057,0.0003268,0.0003268,0.0003268
53,184.598,0.48594,0.50669,0.85759,0.89738,0.98574,0.91733,0.79309,0.59959,0.50904,1.057,0.0003136,0.0003136,0.0003136
54,188.443,0.48849,0.54628,0.87494,0.88696,0.99133,0.89822,0.77507,0.6299,0.66646,1.06289,0.0003004,0.0003004,0.0003004
55,190.831,0.48643,0.49875,0.89133,0.88696,0.99133,0.89822,0.77507,0.6299,0.66646,1.06289,0.0002872,0.0002872,0.0002872
56,198.918,0.46436,0.56433,0.87111,0.9838,0.99333,0.995,0.87128,0.61814,0.48633,1.06093,0.000274,0.000274,0.000274
57,201.834,0.46968,0.47528,0.88059,0.9838,0.99333,0.995,0.87128,0.61814,0.48633,1.06093,0.0002608,0.0002608,0.0002608
58,210.896,0.49679,0.46475,0.93226,0.98573,0.99214,0.995,0.87986,0.56558,0.36115,1.05046,0.0002476,0.0002476,0.0002476
59,217.122,0.48132,0.50625,0.86177,0.98573,0.99214,0.995,0.87986,0.56558,0.36115,1.05046,0.0002344,0.0002344,0.0002344
60,221.782,0.44894,0.44034,0.84195,0.98075,0.99732,0.995,0.87526,0.54944,0.32651,1.04679,0.0002212,0.0002212,0.0002212
61,227.233,0.46675,0.47098,0.87937,0.98075,0.99732,0.995,0.87526,0.54944,0.32651,1.04679,0.000208,0.000208,0.000208
62,228.943,0.4852,0.63348,0.86389,0.97248,1,0.9876,0.86697,0.54723,0.3941,1.04609,0.0001948,0.0001948,0.0001948
63,230.608,0.48443,0.46493,0.8598,0.97248,1,0.9876,0.86697,0.54723,0.3941,1.04609,0.0001816,0.0001816,0.0001816
64,232.481,0.43055,0.43353,0.86139,0.94688,0.9867,0.9606,0.8499,0.55376,0.68239,1.04799,0.0001684,0.0001684,0.0001684
65,241.585,0.47959,0.50114,0.85822,0.94688,0.9867,0.9606,0.8499,0.55376,0.68239,1.04799,0.0001552,0.0001552,0.0001552
66,244.34,0.44416,0.44558,0.88394,0.79591,0.97691,0.81943,0.7113,0.57631,1.58887,1.05137,0.000142,0.000142,0.000142
67,246.558,0.40587,0.37212,0.83537,0.79591,0.97691,0.81943,0.7113,0.57631,1.58887,1.05137,0.0001288,0.0001288,0.0001288
68,254.155,0.40374,0.39899,0.86307,0.79157,0.97572,0.80223,0.69003,0.58784,1.83911,1.05317,0.0001156,0.0001156,0.0001156
69,258.375,0.42219,0.44965,0.87872,0.79157,0.97572,0.80223,0.69003,0.58784,1.83911,1.05317,0.0001024,0.0001024,0.0001024
70,262.225,0.40591,0.39104,0.85488,0.8153,0.97173,0.83992,0.72594,0.59049,1.22355,1.05356,8.92e-05,8.92e-05,8.92e-05
71,269.113,0.38488,0.41202,0.84228,0.8153,0.97173,0.83992,0.72594,0.59049,1.22355,1.05356,7.6e-05,7.6e-05,7.6e-05
72,272.682,0.38301,0.35625,0.85007,0.87639,0.97746,0.91505,0.79141,0.58722,0.55116,1.05275,6.28e-05,6.28e-05,6.28e-05
73,274.579,0.38305,0.31003,0.83162,0.87639,0.97746,0.91505,0.79141,0.58722,0.55116,1.05275,4.96e-05,4.96e-05,4.96e-05
74,276.818,0.40188,0.43601,0.8964,0.98418,0.97954,0.995,0.87467,0.57885,0.35426,1.05135,3.64e-05,3.64e-05,3.64e-05
75,278.535,0.39879,0.35998,0.84003,0.98418,0.97954,0.995,0.87467,0.57885,0.35426,1.05135,2.32e-05,2.32e-05,2.32e-05
